Listening on COM8 at 115200 baud (8E1)...
COBS Decode Error
Accel: X=   112 Y=  -676 Z= 18372 | Gyro: X=  -253 Y=  -685 Z=   -92 | Temp:  35.1 °C
Accel: X=    48 Y=  -648 Z= 18380 | Gyro: X=  -224 Y=  -662 Z=   -83 | Temp:  35.1 °C
Accel: X=    56 Y=  -676 Z= 18276 | Gyro: X=  -267 Y=  -645 Z=   -97 | Temp:  35.2 °C
Accel: X=   112 Y=  -772 Z= 18364 | Gyro: X=  -245 Y=  -636 Z=   -73 | Temp:  35.0 °C
Accel: X=    96 Y=  -860 Z= 18544 | Gyro: X=  -254 Y=  -689 Z=   -88 | Temp:  35.0 °C
Accel: X=   168 Y=  -724 Z= 18364 | Gyro: X=  -256 Y=  -655 Z=   -96 | Temp:  35.1 °C
Accel: X=   112 Y=  -784 Z= 18160 | Gyro: X=  -246 Y=  -653 Z=   -84 | Temp:  35.0 °C
Accel: X=   244 Y=  -576 Z= 18336 | Gyro: X=  -223 Y=  -679 Z=   -77 | Temp:  35.0 °C
Accel: X=   212 Y=  -532 Z= 18520 | Gyro: X=  -246 Y=  -637 Z=   -92 | Temp:  35.0 °C
Accel: X=    16 Y=  -596 Z= 18448 | Gyro: X=  -264 Y=  -665 Z=   -81 | Temp:  35.0 °C
Accel: X=    24 Y=  -784 Z= 18516 | Gyro: X=  -263 Y=  -659 Z=   -82 | Temp:  35.1 °C
Accel: X=    80 Y=  -752 Z= 18332 | Gyro: X=  -230 Y=  -662 Z=   -74 | Temp:  35.0 °C
Accel: X=    20 Y=  -676 Z= 18348 | Gyro: X=  -256 Y=  -642 Z=   -88 | Temp:  35.0 °C
Accel: X=    12 Y=  -688 Z= 18432 | Gyro: X=  -236 Y=  -638 Z=   -82 | Temp:  35.1 °C
Accel: X=   172 Y=  -812 Z= 18356 | Gyro: X=  -223 Y=  -650 Z=   -79 | Temp:  35.0 °C
Accel: X=   196 Y=  -708 Z= 18292 | Gyro: X=  -247 Y=  -677 Z=   -80 | Temp:  35.0 °C
Accel: X=   108 Y=  -648 Z= 18300 | Gyro: X=  -259 Y=  -664 Z=   -85 | Temp:  35.1 °C
Accel: X=   128 Y=  -700 Z= 18344 | Gyro: X=  -250 Y=  -690 Z=   -64 | Temp:  35.1 °C
Accel: X=    96 Y=  -656 Z= 18388 | Gyro: X=  -243 Y=  -646 Z=   -89 | Temp:  35.0 °C
Accel: X=    36 Y=  -664 Z= 18420 | Gyro: X=  -277 Y=  -646 Z=   -99 | Temp:  35.1 °C
Accel: X=   -96 Y=  -872 Z= 18408 | Gyro: X=  -251 Y=  -668 Z=  -108 | Temp:  35.1 °C
Accel: X=   140 Y=  -856 Z= 18552 | Gyro: X=  -234 Y=  -640 Z=  -102 | Temp:  35.1 °C
Accel: X=    20 Y=  -840 Z= 18276 | Gyro: X=  -256 Y=  -670 Z=   -82 | Temp:  35.0 °C
Accel: X=    60 Y=  -780 Z= 18224 | Gyro: X=  -252 Y=  -658 Z=   -89 | Temp:  35.0 °C
Accel: X=   148 Y=  -612 Z= 18380 | Gyro: X=  -224 Y=  -672 Z=   -89 | Temp:  35.1 °C
Accel: X=   132 Y=  -444 Z= 18472 | Gyro: X=  -248 Y=  -635 Z=   -81 | Temp:  35.0 °C
Accel: X=   164 Y=  -552 Z= 18144 | Gyro: X=  -239 Y=  -633 Z=   -79 | Temp:  35.0 °C
Accel: X=   116 Y=  -728 Z= 18404 | Gyro: X=  -227 Y=  -677 Z=   -72 | Temp:  35.1 °C
Accel: X=   132 Y=  -732 Z= 18288 | Gyro: X=  -245 Y=  -638 Z=  -103 | Temp:  35.2 °C
Accel: X=   188 Y=  -612 Z= 18192 | Gyro: X=  -261 Y=  -671 Z=   -61 | Temp:  35.0 °C
Accel: X=     4 Y=  -768 Z= 18516 | Gyro: X=  -269 Y=  -676 Z=   -85 | Temp:  35.0 °C
Accel: X=    48 Y=  -744 Z= 18380 | Gyro: X=  -242 Y=  -675 Z=   -75 | Temp:  35.0 °C
Accel: X=   192 Y=  -724 Z= 18420 | Gyro: X=  -241 Y=  -640 Z=   -72 | Temp:  35.0 °C
Accel: X=   -44 Y=  -692 Z= 18336 | Gyro: X=  -262 Y=  -662 Z=   -79 | Temp:  35.1 °C
Accel: X=   160 Y=  -728 Z= 18472 | Gyro: X=  -252 Y=  -665 Z=   -64 | Temp:  35.0 °C
Accel: X=   128 Y=  -660 Z= 18456 | Gyro: X=  -261 Y=  -675 Z=   -86 | Temp:  35.0 °C
Accel: X=    28 Y=  -616 Z= 18424 | Gyro: X=  -246 Y=  -641 Z=   -75 | Temp:  35.0 °C
Accel: X=   132 Y=  -656 Z= 18548 | Gyro: X=  -263 Y=  -685 Z=   -76 | Temp:  35.1 °C
Accel: X=    36 Y=  -856 Z= 18252 | Gyro: X=  -239 Y=  -667 Z=   -85 | Temp:  35.1 °C
Accel: X=   140 Y=  -820 Z= 18196 | Gyro: X=  -249 Y=  -662 Z=  -104 | Temp:  35.1 °C
Accel: X=   136 Y=  -768 Z= 18340 | Gyro: X=  -237 Y=  -668 Z=  -108 | Temp:  35.0 °C
Accel: X=   156 Y=  -780 Z= 18364 | Gyro: X=  -254 Y=  -681 Z=   -84 | Temp:  35.0 °C
Accel: X=   244 Y=  -616 Z= 18364 | Gyro: X=  -262 Y=  -663 Z=   -85 | Temp:  34.9 °C
Accel: X=   180 Y=  -564 Z= 18192 | Gyro: X=  -252 Y=  -636 Z=   -74 | Temp:  34.9 °C
Accel: X=    68 Y=  -608 Z= 18480 | Gyro: X=  -251 Y=  -685 Z=   -90 | Temp:  35.1 °C
Accel: X=   140 Y=  -784 Z= 18308 | Gyro: X=  -249 Y=  -659 Z=   -57 | Temp:  35.0 °C
Accel: X=   176 Y=  -704 Z= 18272 | Gyro: X=  -258 Y=  -623 Z=   -84 | Temp:  35.0 °C
Accel: X=    28 Y=  -616 Z= 18372 | Gyro: X=  -249 Y=  -654 Z=   -79 | Temp:  35.0 °C
Accel: X=   120 Y=  -744 Z= 18332 | Gyro: X=  -242 Y=  -696 Z=   -71 | Temp:  35.0 °C
Accel: X=    88 Y=  -668 Z= 18284 | Gyro: X=  -242 Y=  -660 Z=   -89 | Temp:  35.1 °C
Accel: X=    44 Y=  -684 Z= 18216 | Gyro: X=  -252 Y=  -630 Z=   -81 | Temp:  35.0 °C
Accel: X=   180 Y=  -744 Z= 18568 | Gyro: X=  -243 Y=  -678 Z=   -86 | Temp:  35.2 °C
Accel: X=   108 Y=  -668 Z= 18300 | Gyro: X=  -252 Y=  -690 Z=   -84 | Temp:  35.0 °C
Accel: X=   124 Y=  -588 Z= 18252 | Gyro: X=  -238 Y=  -645 Z=   -73 | Temp:  35.0 °C
Accel: X=    28 Y=  -652 Z= 18452 | Gyro: X=  -278 Y=  -682 Z=   -73 | Temp:  35.1 °C
Accel: X=   -16 Y=  -784 Z= 18528 | Gyro: X=  -235 Y=  -649 Z=   -67 | Temp:  35.1 °C
Accel: X=    48 Y=  -796 Z= 18208 | Gyro: X=  -226 Y=  -674 Z=   -86 | Temp:  35.0 °C
Accel: X=     4 Y=  -700 Z= 18376 | Gyro: X=  -244 Y=  -648 Z=   -81 | Temp:  35.0 °C
Accel: X=   140 Y=  -912 Z= 18364 | Gyro: X=  -254 Y=  -669 Z=  -105 | Temp:  35.1 °C
Accel: X=    60 Y=  -656 Z= 18516 | Gyro: X=  -237 Y=  -688 Z=   -94 | Temp:  35.0 °C
Accel: X=   328 Y=  -548 Z= 18300 | Gyro: X=  -240 Y=  -619 Z=   -99 | Temp:  35.0 °C
Accel: X=   200 Y=  -680 Z= 18548 | Gyro: X=  -260 Y=  -668 Z=   -92 | Temp:  35.1 °C
Accel: X=    84 Y=  -772 Z= 18484 | Gyro: X=  -227 Y=  -664 Z=   -85 | Temp:  35.1 °C
Accel: X=   212 Y=  -764 Z= 18336 | Gyro: X=  -267 Y=  -650 Z=   -79 | Temp:  35.1 °C
Accel: X=    40 Y=  -676 Z= 18244 | Gyro: X=  -255 Y=  -668 Z=   -91 | Temp:  35.0 °C
Accel: X=   -24 Y=  -724 Z= 18540 | Gyro: X=  -249 Y=  -683 Z=   -73 | Temp:  35.1 °C
Accel: X=   220 Y=  -824 Z= 18492 | Gyro: X=  -223 Y=  -641 Z=   -95 | Temp:  35.1 °C
Accel: X=    60 Y=  -548 Z= 18432 | Gyro: X=  -258 Y=  -650 Z=   -83 | Temp:  35.0 °C
Accel: X=    80 Y=  -712 Z= 18256 | Gyro: X=  -245 Y=  -642 Z=   -62 | Temp:  35.0 °C
Accel: X=    32 Y=  -692 Z= 18488 | Gyro: X=  -232 Y=  -669 Z=   -72 | Temp:  35.1 °C
Accel: X=   216 Y=  -704 Z= 18276 | Gyro: X=  -248 Y=  -651 Z=  -113 | Temp:  35.2 °C
Accel: X=   -48 Y=  -772 Z= 18424 | Gyro: X=  -268 Y=  -655 Z=   -91 | Temp:  35.0 °C
Accel: X=    68 Y=  -692 Z= 18552 | Gyro: X=  -230 Y=  -671 Z=   -83 | Temp:  35.0 °C
Accel: X=   108 Y=  -696 Z= 18432 | Gyro: X=  -220 Y=  -680 Z=   -72 | Temp:  35.1 °C
Accel: X=   188 Y=  -720 Z= 18216 | Gyro: X=  -276 Y=  -653 Z=   -79 | Temp:  35.0 °C
Accel: X=   100 Y=  -688 Z= 18372 | Gyro: X=  -235 Y=  -668 Z=   -81 | Temp:  35.1 °C
Accel: X=   280 Y=  -664 Z= 18332 | Gyro: X=  -236 Y=  -692 Z=   -86 | Temp:  35.1 °C
Accel: X=    36 Y=  -548 Z= 18164 | Gyro: X=  -246 Y=  -625 Z=   -84 | Temp:  35.0 °C
Accel: X=   100 Y=  -716 Z= 18304 | Gyro: X=  -243 Y=  -646 Z=   -95 | Temp:  34.9 °C
Accel: X=   116 Y=  -616 Z= 18600 | Gyro: X=  -250 Y=  -637 Z=   -74 | Temp:  35.0 °C
Accel: X=   132 Y=  -652 Z= 18288 | Gyro: X=  -238 Y=  -641 Z=  -107 | Temp:  35.2 °C
Accel: X=     4 Y=  -652 Z= 18280 | Gyro: X=  -264 Y=  -662 Z=   -87 | Temp:  35.2 °C
Accel: X=   116 Y=  -592 Z= 18440 | Gyro: X=  -249 Y=  -682 Z=   -81 | Temp:  35.0 °C
Accel: X=   176 Y=  -684 Z= 18508 | Gyro: X=  -240 Y=  -680 Z=   -94 | Temp:  35.1 °C
Accel: X=   152 Y=  -708 Z= 18296 | Gyro: X=  -255 Y=  -661 Z=   -86 | Temp:  35.1 °C
Accel: X=   108 Y=  -840 Z= 18456 | Gyro: X=  -266 Y=  -666 Z=   -73 | Temp:  35.0 °C
Accel: X=   208 Y=  -804 Z= 18464 | Gyro: X=  -254 Y=  -672 Z=   -87 | Temp:  35.1 °C
Accel: X=   128 Y=  -728 Z= 18292 | Gyro: X=  -252 Y=  -617 Z=   -89 | Temp:  35.1 °C
Accel: X=    36 Y=  -768 Z= 18300 | Gyro: X=  -249 Y=  -644 Z=   -78 | Temp:  35.1 °C
Accel: X=    44 Y=  -828 Z= 18456 | Gyro: X=  -238 Y=  -683 Z=   -84 | Temp:  35.0 °C
Accel: X=    80 Y=  -684 Z= 18504 | Gyro: X=  -237 Y=  -647 Z=   -76 | Temp:  35.0 °C
